anwaerter_id,vorname,nachname,titel,email,telefon,notarstelle,betreuender_notar,zugelassen_am,beginn_datum,geplante_bestellung,ist_aktiv
NKA-000001,Lisa,Schöller,Mag.,lisa.schoeller@notariat-wien1.at,+43 1 5123456-30,NST-000001,NOT-000001,2022-09-01,2022-09-01,2025-09-01,True
NKA-000002,Dominik,Aigner,Mag.,dominik.aigner@notariat-graz.at,+43 316 8234567-30,NST-000004,NOT-000004,2023-03-15,2023-03-15,2026-03-15,True
NKA-000003,Nina,Pammer,Mag.,nina.pammer@notariat-linz.at,+43 732 7734567-30,NST-000005,NOT-000005,2022-11-10,2022-11-10,2025-11-10,True
NKA-000004,Florian,Riedl,Mag.,florian.riedl@notariat-salzburg.at,+43 662 8434567-30,NST-000006,NOT-000006,2023-06-20,2023-06-20,2026-06-20,True
NKA-000005,Sarah,Pointner,Mag.,sarah.pointner@notariat-innsbruck.at,+43 512 5834567-30,NST-000007,NOT-000007,2023-01-12,2023-01-12,2026-01-12,True
NKA-000006,Lukas,Grabner,Mag.,lukas.grabner@notariat-klagenfurt.at,+43 463 5134567-30,NST-000008,NOT-000008,2022-07-25,2022-07-25,2025-07-25,True
NKA-000007,Anna,Stadler,Mag.,anna.stadler@notariat-graben.at,+43 1 5334567-30,NST-000002,NOT-000002,2023-04-18,2023-04-18,2026-04-18,True
NKA-000008,David,Leitner,Mag.,david.leitner@notariat-stpoelten.at,+43 2742 3534567-30,NST-000010,NOT-000010,2022-10-05,2022-10-05,2025-10-05,True
NKA-000009,Sophie,Plank,Mag.,sophie.plank@notariat-wels.at,+43 7242 4534567-30,NST-000015,NOT-000015,2023-02-28,2023-02-28,2026-02-28,True
NKA-000010,Patrick,Lechner,Mag.,patrick.lechner@notariat-villach.at,+43 4242 2634567-30,NST-000016,NOT-000016,2023-08-14,2023-08-14,2026-08-14,True
NKA-000011,Laura,Holzer,Mag.,laura.holzer@notariat-bregenz.at,+43 5574 4234567-30,NST-000009,NOT-000009,2022-12-01,2022-12-01,2025-12-01,True
NKA-000012,Simon,Mayr,Mag.,simon.mayr@notariat-eisenstadt.at,+43 2682 6334567-30,NST-000011,NOT-000011,2023-05-22,2023-05-22,2026-05-22,True
NKA-000013,Jennifer,Haider,Mag.,jennifer.haider@notariat-opernring.at,+43 1 5876543-30,NST-000012,NOT-000012,2022-08-17,2022-08-17,2025-08-17,True
NKA-000014,Maximilian,Rauch,Mag.,maximilian.rauch@notariat-kohlmarkt.at,+43 1 5987654-30,NST-000013,NOT-000013,2023-11-09,2023-11-09,2026-11-09,True
NKA-000015,Melanie,Ortner,Mag.,melanie.ortner@notariat-wneustadt.at,+43 2622 2234567-30,NST-000014,NOT-000014,2023-07-03,2023-07-03,2026-07-03,True
NKA-000016,Daniel,Wallner,Mag.,daniel.wallner@notariat-baden.at,+43 2252 8634567-30,NST-000017,NOT-000017,2022-09-26,2022-09-26,2025-09-26,True
NKA-000017,Christina,Moser,Mag.,christina.moser@notariat-krems.at,+43 2732 8234567-30,NST-000018,NOT-000018,2023-03-08,2023-03-08,2026-03-08,True
NKA-000018,Philipp,Kirchner,Mag.,philipp.kirchner@notariat-steyr.at,+43 7252 5234567-30,NST-000019,NOT-000019,2023-10-11,2023-10-11,2026-10-11,True
NKA-000019,Kathrin,Mitterer,Mag.,kathrin.mitterer@notariat-dornbirn.at,+43 5572 2234567-30,NST-000020,NOT-000020,2022-11-23,2022-11-23,2025-11-23,True
NKA-000020,Marco,Decker,Mag.,marco.decker@notariat-leoben.at,+43 3842 4334567-30,NST-000021,NOT-000021,2023-06-07,2023-06-07,2026-06-07,True
