notar_id,vorname,nachname,titel,email,telefon,notarstelle,bestellt_am,beginn_datum,ende_datum,war_vorher_anwaerter,ist_aktiv
NOT-000001,Maria,Hofer,Dr.,maria.hofer@notariat-wien1.at,+43 1 5123456-10,NST-000001,2015-03-15,2015-03-15,,True,True
NOT-000002,Johann,Gruber,Mag.,johann.gruber@notariat-graben.at,+43 1 5334567-10,NST-000002,2012-06-01,2012-06-01,,True,True
NOT-000003,Elisabeth,Bauer,Dr.,elisabeth.bauer@notariat-kaertnerstr.at,+43 1 5125678-10,NST-000003,2018-09-10,2018-09-10,,True,True
NOT-000004,Thomas,Pichler,DDr.,thomas.pichler@notariat-graz.at,+43 316 8234567-10,NST-000004,2010-04-20,2010-04-20,,True,True
NOT-000005,Claudia,Steiner,Mag.,claudia.steiner@notariat-linz.at,+43 732 7734567-10,NST-000005,2016-11-05,2016-11-05,,True,True
NOT-000006,Franz,Moser,Dr.,franz.moser@notariat-salzburg.at,+43 662 8434567-10,NST-000006,2013-02-28,2013-02-28,,True,True
NOT-000007,Andrea,Huber,Dr.,andrea.huber@notariat-innsbruck.at,+43 512 5834567-10,NST-000007,2017-07-12,2017-07-12,,True,True
NOT-000008,Michael,Leitner,Mag.,michael.leitner@notariat-klagenfurt.at,+43 463 5134567-10,NST-000008,2014-10-03,2014-10-03,,True,True
NOT-000009,Karin,Berger,Dr.,karin.berger@notariat-bregenz.at,+43 5574 4234567-10,NST-000009,2019-01-22,2019-01-22,,False,True
NOT-000010,Wolfgang,Eder,Dr.,wolfgang.eder@notariat-stpoelten.at,+43 2742 3534567-10,NST-000010,2011-05-18,2011-05-18,,True,True
NOT-000011,Sabine,Fischer,Mag.,sabine.fischer@notariat-eisenstadt.at,+43 2682 6334567-10,NST-000011,2020-03-09,2020-03-09,,True,True
NOT-000012,Peter,Wagner,DDr.,peter.wagner@notariat-opernring.at,+43 1 5876543-10,NST-000012,2009-08-15,2009-08-15,,True,True
NOT-000013,Julia,Schmid,Dr.,julia.schmid@notariat-kohlmarkt.at,+43 1 5987654-10,NST-000013,2021-06-21,2021-06-21,,True,True
NOT-000014,Robert,Mayer,Mag.,robert.mayer@notariat-wneustadt.at,+43 2622 2234567-10,NST-000014,2016-12-07,2016-12-07,,True,True
NOT-000015,Christine,Wimmer,Dr.,christine.wimmer@notariat-wels.at,+43 7242 4534567-10,NST-000015,2015-09-14,2015-09-14,,True,True
NOT-000016,Helmut,Fuchs,Dr.,helmut.fuchs@notariat-villach.at,+43 4242 2634567-10,NST-000016,2018-04-11,2018-04-11,,True,True
NOT-000017,Martina,Egger,Mag.,martina.egger@notariat-baden.at,+43 2252 8634567-10,NST-000017,2019-11-26,2019-11-26,,False,True
NOT-000018,Stefan,Reiter,Dr.,stefan.reiter@notariat-krems.at,+43 2732 8234567-10,NST-000018,2013-07-30,2013-07-30,,True,True
NOT-000019,Barbara,Lang,Dr.,barbara.lang@notariat-steyr.at,+43 7252 5234567-10,NST-000019,2017-02-16,2017-02-16,,True,True
NOT-000020,Georg,Brunner,Mag.,georg.brunner@notariat-dornbirn.at,+43 5572 2234567-10,NST-000020,2014-05-22,2014-05-22,,True,True
